"","user_id","name","screen_name","location","description","protected","followers_count","friends_count","listed_count","created_at","favourites_count","utc_offset","time_zone","geo_enabled","verified","statuses_count","lang","contributors_enabled","is_translator","is_translation_enabled","profile_background_color","profile_background_image_url","profile_background_image_url_https","profile_background_tile","profile_image_url","profile_image_url_https","profile_image_url.1","profile_image_url_https.1","profile_link_color","profile_sidebar_border_color","profile_sidebar_fill_color","profile_text_color","profile_use_background_image","default_profile","default_profile_image","profile_banner_url","user_reference","user_relation"
"192","421259893","Radio UNO Cartelera","RadioUNOToques","Uruguay","Cartelera de Toques en Uruguay y Argentina",FALSE,9678,8598,24,2011-11-25 18:22:53,2,-10800,"Buenos Aires",FALSE,FALSE,18226,"es",FALSE,FALSE,FALSE,"000000","http://pbs.twimg.com/profile_background_images/436976298007605248/dQElGMDR.png","https://pbs.twimg.com/profile_background_images/436976298007605248/dQElGMDR.png",TRUE,"http://pbs.twimg.com/profile_images/632911877740326912/mjUdPg2W_normal.jpg","https://pbs.twimg.com/profile_images/632911877740326912/mjUdPg2W_normal.jpg","http://pbs.twimg.com/profile_images/632911877740326912/mjUdPg2W_normal.jpg","https://pbs.twimg.com/profile_images/632911877740326912/mjUdPg2W_normal.jpg","DD2E44","000000","DDEEF6","333333",TRUE,FALSE,FALSE,"https://pbs.twimg.com/profile_banners/421259893/1439734617","MasaCriticaMvd","follower"
"193","204448396","Esther Cis","esthertxu_90","Montevideo¦Navarra ","No quieras pa nadie lo que no quieras pa ti, vive y deja vivir, disfruta y se feliz",FALSE,254,451,0,2010-10-18 18:28:19,18,10800,"Athens",TRUE,FALSE,1089,"es",FALSE,FALSE,FALSE,"131516","http://abs.twimg.com/images/themes/theme14/bg.gif","https://abs.twimg.com/images/themes/theme14/bg.gif",TRUE,"http://pbs.twimg.com/profile_images/462494428238999552/xGnG8rKU_normal.jpeg","https://pbs.twimg.com/profile_images/462494428238999552/xGnG8rKU_normal.jpeg","http://pbs.twimg.com/profile_images/462494428238999552/xGnG8rKU_normal.jpeg","https://pbs.twimg.com/profile_images/462494428238999552/xGnG8rKU_normal.jpeg","009999","EEEEEE","EFEFEF","333333",TRUE,FALSE,FALSE,"https://pbs.twimg.com/profile_banners/204448396/1399102236","MasaCriticaMvd","follower"
"194","198595551","María Orfila","orfilamaria","Montevideo, Uruguay","Editora de Cromo, periodista El Observador y mamá. Lo que está para uno está para uno.",FALSE,1590,890,31,2010-10-04 18:39:30,653,-10800,"Buenos Aires",FALSE,FALSE,2828,"es",FALSE,FALSE,FALSE,"ACDED6","http://abs.twimg.com/images/themes/theme18/bg.gif","https://abs.twimg.com/images/themes/theme18/bg.gif",FALSE,"http://pbs.twimg.com/profile_images/839995604004659200/8GHb-mZ6_normal.jpg","https://pbs.twimg.com/profile_images/839995604004659200/8GHb-mZ6_normal.jpg","http://pbs.twimg.com/profile_images/839995604004659200/8GHb-mZ6_normal.jpg","https://pbs.twimg.com/profile_images/839995604004659200/8GHb-mZ6_normal.jpg","038543","EEEEEE","F6F6F6","333333",TRUE,FALSE,FALSE,NA,"MasaCriticaMvd","follower"
"195","1901389130","toco y obligo","Toco_yObligo",NA,"Banda Tributo a La Trampa",FALSE,485,559,2,2013-09-24 18:34:55,265,-10800,"Brasilia",FALSE,FALSE,336,"es",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/378800000503172673/813ed89b430f6fe60736a66675881a5d_normal.jpeg","https://pbs.twimg.com/profile_images/378800000503172673/813ed89b430f6fe60736a66675881a5d_normal.jpeg","http://pbs.twimg.com/profile_images/378800000503172673/813ed89b430f6fe60736a66675881a5d_normal.jpeg","https://pbs.twimg.com/profile_images/378800000503172673/813ed89b430f6fe60736a66675881a5d_normal.jpeg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,FALSE,"https://pbs.twimg.com/profile_banners/1901389130/1440363602","MasaCriticaMvd","follower"
"196","2203475694","nocheMVD","noche_MVD",NA,"Comentá y enterate de toda la movida nocturna en Montevideo!!",FALSE,467,998,0,2013-11-19 17:36:15,0,NA,NA,FALSE,FALSE,2988,"es",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/378800000767202096/e2187588f331f856f90b8790d089ef49_normal.jpeg","https://pbs.twimg.com/profile_images/378800000767202096/e2187588f331f856f90b8790d089ef49_normal.jpeg","http://pbs.twimg.com/profile_images/378800000767202096/e2187588f331f856f90b8790d089ef49_normal.jpeg","https://pbs.twimg.com/profile_images/378800000767202096/e2187588f331f856f90b8790d089ef49_normal.jpeg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,FALSE,"https://pbs.twimg.com/profile_banners/2203475694/1384979380","MasaCriticaMvd","follower"
"197","702448359","K€¥!N","kevin_aldaz",NA,"S0! |@ @|€GR!@ D€ Q0!€N M€@M€ ¥ |@ TR!$T€$@ D€ Q0!€N M€ 0D!€",FALSE,331,1906,0,2013-10-06 01:40:58,4,NA,NA,FALSE,FALSE,136,"es",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/445345851255558144/J333I5Y5_normal.jpeg","https://pbs.twimg.com/profile_images/445345851255558144/J333I5Y5_normal.jpeg","http://pbs.twimg.com/profile_images/445345851255558144/J333I5Y5_normal.jpeg","https://pbs.twimg.com/profile_images/445345851255558144/J333I5Y5_normal.jpeg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,FALSE,"https://pbs.twimg.com/profile_banners/702448359/1395013696","MasaCriticaMvd","follower"
"198","903510342","Masa Crítica Stder","MasaCSantander","Santander, Cantabria","MASA CRÍTICA SANTANDER...
Usa la bici a diario y celébralo una vez al mes.
Últimos jueves de cada mes, a las 20:00 h en los Jardines de Pereda.",FALSE,584,505,20,2012-10-25 08:55:45,112,7200,"Madrid",FALSE,FALSE,725,"es",FALSE,FALSE,FALSE,"00070A","http://pbs.twimg.com/profile_background_images/693175378/2e97ed0d86c8cadce781a69476b3a7e7.jpeg","https://pbs.twimg.com/profile_background_images/693175378/2e97ed0d86c8cadce781a69476b3a7e7.jpeg",FALSE,"http://pbs.twimg.com/profile_images/2761988229/195029fd3cc2e39ac2d65d605ff9b597_normal.jpeg","https://pbs.twimg.com/profile_images/2761988229/195029fd3cc2e39ac2d65d605ff9b597_normal.jpeg","http://pbs.twimg.com/profile_images/2761988229/195029fd3cc2e39ac2d65d605ff9b597_normal.jpeg","https://pbs.twimg.com/profile_images/2761988229/195029fd3cc2e39ac2d65d605ff9b597_normal.jpeg","3B94D9","000000","DDEEF6","333333",TRUE,FALSE,FALSE,"https://pbs.twimg.com/profile_banners/903510342/1452267179","MasaCriticaMvd","follower"
"199","79359445","g.peveroni","peveroni","uruguay","montevideano, escribidor, lector, ciclista, melómano - autor de los ojos de una ciudad china, la cura, groenlandia, tobogán blanco y otros mundos paralelos.",FALSE,2434,1110,22,2009-10-03 03:06:42,978,-7200,"Greenland",FALSE,FALSE,2727,"es",FALSE,FALSE,FALSE,"9AE4E8","http://abs.twimg.com/images/themes/theme16/bg.gif","https://abs.twimg.com/images/themes/theme16/bg.gif",TRUE,"http://pbs.twimg.com/profile_images/378800000525583213/11d30a3da37ca99229a694fc4ef10934_normal.jpeg","https://pbs.twimg.com/profile_images/378800000525583213/11d30a3da37ca99229a694fc4ef10934_normal.jpeg","http://pbs.twimg.com/profile_images/378800000525583213/11d30a3da37ca99229a694fc4ef10934_normal.jpeg","https://pbs.twimg.com/profile_images/378800000525583213/11d30a3da37ca99229a694fc4ef10934_normal.jpeg","1B95E0","FFFFFF","DDFFCC","333333",TRUE,FALSE,FALSE,"https://pbs.twimg.com/profile_banners/79359445/1454544682","MasaCriticaMvd","follower"
"200","393052924","Jorge Gandini","jorgegandini",NA,"Diputado Nacional por Montevideo. Partido Nacional.",FALSE,15334,559,102,2011-10-17 23:27:29,406,-7200,"Greenland",TRUE,TRUE,7068,"es",FALSE,FALSE,FALSE,"717B99","http://pbs.twimg.com/profile_background_images/436912146052419585/PBI9U0pv.jpeg","https://pbs.twimg.com/profile_background_images/436912146052419585/PBI9U0pv.jpeg",FALSE,"http://pbs.twimg.com/profile_images/788425019168788480/7NNLGuo3_normal.jpg","https://pbs.twimg.com/profile_images/788425019168788480/7NNLGuo3_normal.jpg","http://pbs.twimg.com/profile_images/788425019168788480/7NNLGuo3_normal.jpg","https://pbs.twimg.com/profile_images/788425019168788480/7NNLGuo3_normal.jpg","0084B4","FFFFFF","DDEEF6","333333",TRUE,FALSE,FALSE,"https://pbs.twimg.com/profile_banners/393052924/1438096834","MasaCriticaMvd","follower"
"201","239442240","C. S. y D. SAYAGO","ClubSayago","Montevideo, Sayago","Espacio dedicado a la Institución Fundada el 15-11-1923/ Afiliado 1935. Campeón del Metropolitano 2004, Desde entonces en la primer categoría del Basquetbol Uy.",FALSE,3145,2825,14,2011-01-17 16:49:19,2315,-14400,"Santiago",FALSE,FALSE,2773,"es",FALSE,FALSE,FALSE,"8B542B","http://pbs.twimg.com/profile_background_images/193900620/FONDO_TWITTER_Y_FACE_para_tw.gif","https://pbs.twimg.com/profile_background_images/193900620/FONDO_TWITTER_Y_FACE_para_tw.gif",FALSE,"http://pbs.twimg.com/profile_images/378800000222097770/75aefd0bb9407b837dbacd7c18865200_normal.png","https://pbs.twimg.com/profile_images/378800000222097770/75aefd0bb9407b837dbacd7c18865200_normal.png","http://pbs.twimg.com/profile_images/378800000222097770/75aefd0bb9407b837dbacd7c18865200_normal.png","https://pbs.twimg.com/profile_images/378800000222097770/75aefd0bb9407b837dbacd7c18865200_normal.png","9D582E","000000","EADEAA","333333",TRUE,FALSE,FALSE,"https://pbs.twimg.com/profile_banners/239442240/1416023253","MasaCriticaMvd","follower"
